subject,run_number,Trialid,condition,choice_number,self_value,other_value,choice,self,other,choice_RT
1201,2,9,1,1,4,12,2,10,10,1091
1201,2,9,1,2,30,20,1,30,20,709
1201,2,9,1,3,12,8,1,12,8,892
1201,2,9,1,4,18,10,1,18,10,659
1201,2,10,2,1,29,30,1,29,30,831
1201,2,10,2,2,10,30,1,10,30,1169
1201,2,10,2,3,1,13,2,10,10,1219
1201,2,10,2,4,14,6,1,14,6,791
1201,2,11,4,1,6,22,2,10,10,1121
1201,2,11,4,2,15,30,1,15,30,851
1201,2,11,4,3,16,8,1,16,8,1040
1201,2,11,4,4,2,2,2,10,10,826
1201,2,13,3,1,15,30,1,15,30,1113
1201,2,13,3,2,16,8,1,16,8,831
1201,2,13,3,3,8,16,2,10,10,1069
1201,2,13,3,4,22,12,1,22,12,770
1201,2,15,1,1,4,16,2,10,10,1309
1201,2,15,1,2,29,30,1,29,30,1001
1201,2,15,1,3,11,6,2,10,10,1749
1201,2,15,1,4,10,26,1,10,26,999
1201,2,17,4,1,29,30,1,29,30,806
1201,2,17,4,2,14,26,1,14,26,1373
1201,2,17,4,3,2,18,2,10,10,1183
1201,2,17,4,4,14,6,1,14,6,1025
1201,2,18,2,1,12,18,2,10,10,1946
1201,2,18,2,2,22,12,1,22,12,1338
1201,2,18,2,3,11,6,1,11,6,934
1201,2,18,2,4,6,22,2,10,10,996
1201,2,19,3,1,30,20,1,30,20,1241
1201,2,19,3,2,4,28,1,4,28,1535
1201,2,19,3,3,22,6,1,22,6,700
1201,2,19,3,4,29,30,1,29,30,770
1201,2,20,1,1,16,8,1,16,8,1085
1201,2,20,1,2,22,12,1,22,12,828
1201,2,20,1,3,18,18,1,18,18,964
1201,2,20,1,4,1,13,2,10,10,883
1201,2,22,4,1,12,8,1,12,8,1831
1201,2,22,4,2,1,13,2,10,10,840
1201,2,22,4,3,22,10,1,22,10,2223
1201,2,22,4,4,10,30,2,10,10,1296
1201,2,24,2,1,12,22,1,12,22,903
1201,2,24,2,2,11,8,1,11,8,1239
1201,2,24,2,3,22,10,1,22,10,751
1201,2,24,2,4,7,13,2,10,10,1357
1201,2,25,3,1,4,16,2,10,10,1442
1201,2,25,3,2,12,3,1,12,3,1148
1201,2,25,3,3,10,26,2,10,10,1736
1201,2,25,3,4,26,14,1,26,14,1031
1201,2,26,1,1,6,22,2,10,10,1003
1201,2,26,1,2,26,10,1,26,10,788
1201,2,26,1,3,22,6,1,22,6,990
1201,2,26,1,4,10,30,2,10,10,1616
1201,2,29,2,1,15,30,1,15,30,1439
1201,2,29,2,2,17,3,1,17,3,861
1201,2,29,2,3,4,28,2,10,10,1305
1201,2,29,2,4,18,12,1,18,12,849
1201,2,30,4,1,22,6,1,22,6,959
1201,2,30,4,2,4,28,2,10,10,1377
1201,2,30,4,3,12,18,1,12,18,1375
1201,2,30,4,4,30,10,1,30,10,826
1201,2,31,1,1,2,2,2,10,10,916
1201,2,31,1,2,17,3,2,10,10,769
1201,2,31,1,3,12,22,1,12,22,2380
1201,2,31,1,4,7,13,2,10,10,1534
1201,2,32,3,1,7,13,2,10,10,959
1201,2,32,3,2,10,18,2,10,10,1981
1201,2,32,3,3,18,10,1,18,10,846
1201,2,32,3,4,11,6,1,11,6,1637
1201,2,33,4,1,18,18,1,18,18,1056
1201,2,33,4,2,7,13,2,10,10,1449
